性别,速度模式,差别阀限（s）,反馈情况
1,1,0.33,1
1,1,0.32,2
1,1,0.12,1
1,2,0.62,1
1,2,0.22,2
1,2,0.67,1
1,2,0.77,1
1,2,0.22,2
1,2,0.27,1
1,2,0.31,1
1,2,0.16,2
1,2,0.27,1
1,2,0.14,1
1,2,0.23,2
1,2,0.33,1
1,2,0.34,1
1,2,0.24,2
1,2,0.45,1
1,1,0.73,1
1,1,0.33,2
1,1,0.71,1
1,1,0.89,1
1,1,0.25,2
1,1,0.37,1
1,1,0.56,1
1,1,0.31,2
1,1,0.19,1
1,1,0.79,1
1,1,0.29,2
1,1,0.45,1
1,2,0.84,1
1,2,0.22,2
1,2,0.55,1
1,2,0.25,1
1,2,0.23,2
1,2,0.17,1
2,2,0.59,1
2,2,0.28,2
2,2,0.12,1
2,2,1.16,1
2,2,0.13,2
2,2,0.28,1
2,2,0.68,1
2,2,0.34,2
2,2,0.33,1
2,1,0.93,1
2,1,0.55,2
2,1,0.4,1
2,1,0.5,1
2,1,0.13,2
2,1,0.43,1
2,1,0.29,1
2,1,0.16,2
2,1,0.32,1
